,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,36,1981,5,5,450,5.0,4,0.80,16,12,75.0,1,1,3,1,20.0,1,0,0,1,,Matches
2,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,23,1994,13,13,1200,13.3,8,0.60,25,17,68.0,12,1,0,7,53.8,0,0,0,0,,Matches
3,Scott Bain\Scott-Bain,sco SCO,GK,sco Celtic,26,1991,2,2,180,2.0,3,1.50,11,8,72.7,0,0,2,0,0.0,0,0,0,0,,Matches
4,Frank Boeckx\Frank-Boeckx,be BEL,GK,be Anderlecht,31,1986,1,1,90,1.0,0,0.00,2,2,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
5,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,lu F91 Dudelange,34,1983,4,4,360,4.0,12,3.00,33,24,63.6,0,1,3,1,25.0,0,0,0,0,,Matches
6,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,30,1988,9,9,810,9.0,16,1.78,48,31,66.7,4,3,2,2,22.2,0,0,0,0,,Matches
7,Yanick Brecher\Yanick-Brecher,ch SUI,GK,ch Zürich,25,1993,7,7,630,7.0,10,1.43,34,24,70.6,3,0,4,2,28.6,0,0,0,0,,Matches
8,Jorge Broun\Jorge-Broun,ar ARG,GK,bg Ludogorets,32,1986,1,1,90,1.0,1,1.00,1,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
9,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,24,1994,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
10,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,36,1981,2,2,180,2.0,2,1.00,3,2,33.3,1,1,0,1,50.0,0,0,0,0,,Matches
11,Petr Čech\Petr-Cech,cz CZE,GK,eng Arsenal,36,1982,11,11,990,11.0,11,1.00,33,24,69.7,7,1,3,6,54.5,1,1,0,0,0.0,Matches
12,Andreas Christodoulou\Andreas-Christodoulou,cy CYP,GK,cy AÉK Lárnaka,21,1997,1,1,90,1.0,5,5.00,7,3,42.9,0,0,1,0,0.0,1,1,0,0,0.0,Matches
13,Martin Chudý\Martin-Chudy,sk SVK,GK,sk Spartak Trnava,29,1989,6,6,540,6.0,7,1.17,22,15,68.2,2,1,3,3,50.0,0,0,0,0,,Matches
14,Benoît Costil\Benoit-Costil,fr FRA,GK,fr Bordeaux,31,1987,6,6,540,6.0,6,1.00,17,11,64.7,2,1,3,2,33.3,1,0,0,1,,Matches
15,Johan Dahlin\Johan-Dahlin,se SWE,GK,se Malmö,31,1986,8,8,720,8.0,11,1.37,37,26,70.3,2,3,3,2,25.0,0,0,0,0,,Matches
16,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,fr Rennes,26,1992,3,3,270,3.0,4,1.33,6,2,33.3,1,0,2,1,33.3,0,0,0,0,,Matches
17,Thomas Didillon\Thomas-Didillon,fr FRA,GK,be Anderlecht,22,1995,5,5,450,5.0,7,1.40,24,18,75.0,0,2,3,1,20.0,1,1,0,0,0.0,Matches
