 ,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Stanislav Agkatsev\Stanislav-Agkatsev,ru RUS,GK,ru Krasnodar,19-086,2002,1.0,1,0,0,0,0,1.8,0.36,+0.8,+0.81,6,9,66.7,19,4,26.3,27.5,6,66.7,44.2,5,0,0.0,2,2.00,13.4,Matches
2,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,34-362,1986,6.0,8,1,0,1,0,7.5,0.29,-0.5,-0.08,26,82,31.7,100,19,53.0,43.9,47,61.7,48.4,52,3,5.8,1,0.17,11.6,Matches
3,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,eng Arsenal,26-046,1995,4.0,3,0,0,0,0,2.4,0.35,-0.6,-0.15,17,33,51.5,111,17,20.7,28.6,18,55.6,38.8,18,0,0.0,6,1.50,19.0,Matches
4,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,es Real Sociedad,37-003,1984,1.0,0,0,0,0,0,0.0,0.01,0.0,+0.01,6,10,60.0,32,4,21.9,27.0,3,100.0,63.7,2,0,0.0,0,0.00,15.0,Matches
5,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,es Villarreal,31-281,1989,1.0,0,0,0,0,0,0.1,0.04,+0.1,+0.08,2,7,28.6,41,5,14.6,25.2,2,50.0,38.5,7,0,0.0,1,1.00,15.4,Matches
6,Giorgos Athanasiadis\Giorgos-Athanasiadis,gr GRE,GK,gr AEK Athens,27-363,1993,1.0,3,1,0,0,0,2.2,0.53,-0.8,-0.77,9,21,42.9,26,6,61.5,44.8,7,71.4,49.9,6,1,16.7,0,0.00,13.1,Matches
7,Scott Bain\Scott-Bain,sco SCO,GK,sco Celtic,29-134,1991,3.0,10,0,0,3,0,8.2,0.39,-1.8,-0.61,16,56,28.6,74,13,52.7,41.6,18,94.4,67.2,34,4,11.8,3,1.00,16.2,Matches
8,Cristian Bălgrădean\Cristian-Balgradean,ro ROU,GK,ro CFR Cluj,33-015,1988,6.0,8,1,0,1,1,7.3,0.30,+0.3,+0.04,37,119,31.1,106,15,70.8,51.2,47,93.6,60.7,80,9,11.3,0,0.00,9.5,Matches
9,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,26-096,1994,8.0,10,0,0,2,0,8.0,0.23,-2.0,-0.28,36,114,31.6,180,39,45.0,40.2,55,60.0,49.4,54,2,3.7,7,1.00,13.0,Matches
10,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,sco Celtic,26-310,1994,2.0,7,0,1,0,0,4.5,0.50,-2.5,-1.24,8,24,33.3,30,4,53.3,39.9,12,66.7,41.6,9,0,0.0,2,1.00,19.0,Matches
11,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,30-307,1990,7.0,6,0,0,1,0,5.7,0.41,-0.3,-0.05,33,73,45.2,221,31,27.1,29.2,34,38.2,37.1,34,2,5.9,9,1.29,17.7,Matches
12,Filip Bednarek\Filip-Bednarek,pl POL,GK,pl Lech Poznań,28-191,1992,6.0,14,1,0,1,0,12.0,0.37,-2.0,-0.34,26,77,33.8,183,28,30.1,33.1,55,40.0,36.0,56,3,5.4,0,0.00,10.3,Matches
13,Alireza Beiranvand\Alireza-Beiranvand,ir IRN,GK,be Antwerp,28-196,1992,1.8,4,1,0,0,0,3.3,0.24,-0.7,-0.39,8,35,22.9,66,14,42.4,37.6,13,53.8,44.9,13,1,7.7,1,0.54,14.5,Matches
14,Walter Benítez\Walter-Benitez,ar ARG,GK,fr Nice,28-017,1993,5.0,15,0,0,5,0,9.8,0.33,-5.2,-1.03,24,53,45.3,143,15,33.6,30.1,37,13.5,22.2,23,0,0.0,2,0.40,14.5,Matches
15,Justin Bijlow\Justin-Bijlow,nl NED,GK,nl Feyenoord,23-073,1998,3.0,5,3,0,0,1,5.2,0.30,+1.2,+0.39,17,60,28.3,82,16,59.8,43.2,14,78.6,52.1,24,1,4.2,3,1.00,15.2,Matches
16,Marco Bizot\Marco-Bizot,nl NED,GK,nl AZ Alkmaar,30-026,1991,6.0,5,0,0,1,0,7.8,0.34,+2.8,+0.46,31,121,25.6,185,28,49.7,40.1,45,64.4,47.0,62,4,6.5,4,0.67,13.4,Matches
17,Arnaud Bodart\Arnaud-Bodart,be BEL,GK,be Standard Liège,23-025,1998,6.0,14,5,0,1,0,12.5,0.31,-1.5,-0.26,26,79,32.9,141,21,41.8,38.2,50,40.0,36.5,36,3,8.3,3,0.50,13.1,Matches
18,Pietro Boer\Pietro-Boer,it ITA,GK,it Roma,18-328,2002,1.0,3,0,0,0,0,2.1,0.69,-0.9,-0.92,2,4,50.0,27,8,14.8,26.1,3,0.0,10.0,10,0,0.0,1,1.00,14.9,Matches
19,Sinan Bolat\Sinan-Bolat,tr TUR,GK,be Gent,32-214,1988,2.0,4,0,0,2,0,2.4,0.27,-1.6,-0.80,10,21,47.6,48,10,33.3,31.4,9,55.6,45.9,11,2,18.2,1,0.50,18.1,Matches
20,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,33-164,1987,8.0,7,2,0,0,1,8.9,0.21,+2.9,+0.37,71,178,39.9,254,37,55.1,42.8,64,59.4,43.5,75,8,10.7,4,0.50,13.5,Matches
21,Gustavo Busatto\Gustavo-Busatto,br BRA,GK,bg CSKA Sofia,30-164,1990,6.0,7,1,0,1,0,7.8,0.30,+1.8,+0.36,38,111,34.2,143,12,58.7,47.4,38,71.1,55.9,46,2,4.3,2,0.40,13.0,Matches
22,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,26-309,1994,4.0,5,0,0,2,0,4.3,0.36,-0.7,-0.17,34,78,43.6,137,25,46.7,39.4,24,58.3,50.0,40,2,5.0,3,0.75,14.7,Matches
23,Jean Butez\Jean-Butez,fr FRA,GK,be Antwerp,25-301,1995,5.0,3,0,0,0,0,3.3,0.25,+0.3,+0.06,34,100,34.0,160,24,42.5,40.2,39,82.1,57.4,32,5,15.6,2,0.40,14.3,Matches
24,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,fr Nice,27-009,1994,1.0,1,0,0,0,0,1.0,0.34,0.0,+0.02,3,3,100.0,24,1,12.5,20.9,4,0.0,21.3,7,0,0.0,2,2.00,30.8,Matches
25,Colin Coosemans\Colin-Coosemans,be BEL,GK,be Gent,28-245,1992,1.0,2,0,1,0,0,0.5,0.10,-1.5,-1.51,1,4,25.0,28,5,7.1,21.3,12,16.7,24.7,3,0,0.0,3,3.00,35.0,Matches
26,Daniel\Daniel,br BRA,GK,il Maccabi Tel Aviv,25-351,1995,8.0,10,1,0,1,0,8.8,0.32,-1.2,-0.16,35,103,34.0,192,34,38.5,34.4,54,53.7,43.5,52,3,5.8,1,0.13,11.8,Matches
27,Ortwin De Wolf\Ortwin-De-Wolf,be BEL,GK,be Antwerp,23-347,1997,1.2,7,3,0,0,0,5.1,0.32,-1.9,-1.61,5,11,45.5,26,7,30.8,31.2,6,50.0,46.5,5,0,0.0,3,2.60,23.5,Matches
