,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,6.0,10,1.67,38,28,76.3,3,0,3,1,16.7,1,1,0,0,0.0,Matches
2,Alisson\Alisson,br BRA,GK,it Roma,24,1992,12,12,1080,12.0,19,1.58,62,43,69.4,6,2,4,5,41.7,0,0,0,0,,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,24,1993,8,8,720,8.0,9,1.13,37,28,78.4,5,0,3,4,50.0,1,1,0,0,0.0,Matches
4,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,33,1983,3,3,270,3.0,7,2.33,17,10,58.8,0,1,2,0,0.0,0,0,0,0,,Matches
5,Frank Boeckx\Frank-Boeckx,be BEL,GK,be Anderlecht,30,1986,3,3,270,3.0,8,2.67,17,9,52.9,1,0,2,1,33.3,0,0,0,0,,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,34,1983,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,39,1978,9,9,810,9.0,11,1.22,35,24,68.6,4,3,2,2,22.2,0,0,0,0,,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,26,1990,6,6,540,6.0,13,2.17,36,23,63.9,0,2,4,0,0.0,0,0,0,0,,Matches
9,Kiko Casilla\Kiko-Casilla,es ESP,GK,es Real Madrid,30,1986,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,,Matches
10,Iker Casillas\Iker-Casillas,es ESP,GK,pt Porto,36,1981,3,3,270,3.0,3,1.00,6,3,50.0,1,1,1,2,66.7,0,0,0,0,,Matches
11,Júlio César\Julio-Cesar,br BRA,GK,pt Benfica,37,1979,1,1,90,1.0,5,5.00,8,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
12,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Barcelona,28,1989,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
13,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,eng Chelsea,25,1992,8,8,720,8.0,12,1.50,33,21,66.7,3,3,2,2,25.0,1,1,0,0,0.0,Matches
14,Ederson\Ederson,br BRA,GK,eng Manchester City,23,1993,9,9,810,9.0,10,1.11,31,21,74.2,6,0,3,4,44.4,3,2,1,0,33.3,Matches
15,Fabricio\Fabricio,es ESP,GK,tr Beşiktaş,29,1987,6,6,540,6.0,9,1.50,33,24,72.7,3,2,1,1,16.7,0,0,0,0,,Matches
16,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,26,1990,6,6,540,6.0,3,0.50,25,22,88.0,4,1,1,4,66.7,0,0,0,0,,Matches
17,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,34,1982,6,6,540,6.0,18,3.00,40,22,57.5,1,0,5,1,16.7,1,1,0,0,0.0,Matches
18,Raúl Gudiño\Raul-Gudino,mx MEX,GK,cy APOEL FC,21,1996,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
19,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,27,1990,6,6,540,6.0,11,1.83,26,15,61.5,2,1,3,0,0.0,1,1,0,0,0.0,Matches
20,Jasmin Handanović\Jasmin-Handanovic,si SVN,GK,si NK Maribor,39,1978,6,6,540,6.0,16,2.67,45,29,66.7,0,3,3,0,0.0,2,1,1,0,50.0,Matches
21,Brad Jones\Brad-Jones,au AUS,GK,nl Feyenoord,35,1982,5,5,450,5.0,13,2.60,25,12,48.0,0,0,5,0,0.0,0,0,0,0,,Matches
22,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,gr Olympiacos,23,1994,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
23,Loris Karius\Loris-Karius,de GER,GK,eng Liverpool,24,1993,13,13,1170,13.0,16,1.23,39,23,66.7,7,4,2,6,46.2,3,3,0,0,0.0,Matches
24,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,30,1986,7,7,630,7.0,8,1.14,26,18,76.9,4,2,1,1,14.3,3,2,0,1,0.0,Matches
25,Keylor Navas\Keylor-Navas,cr CRC,GK,es Real Madrid,30,1986,11,11,990,11.0,13,1.18,41,28,68.3,8,2,1,2,18.2,0,0,0,0,,Matches
26,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,31,1986,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
27,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,24,1993,6,6,540,6.0,4,0.67,18,14,77.8,1,4,1,3,50.0,0,0,0,0,,Matches
