,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,5,449,5.0,6,1.20,25,19,76.0,2,1,2,2,40.0,1,0,1,0,100.0,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,25,1992,13,13,1170,13.0,12,0.92,57,46,78.9,8,1,4,6,46.2,0,0,0,0,,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,25,1993,3,3,270,3.0,6,2.00,15,10,66.7,1,1,1,0,0.0,1,1,0,0,0.0,Matches
4,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,4,360,4.0,10,2.50,20,11,55.0,0,0,4,0,0.0,1,1,0,0,0.0,Matches
6,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,6,540,6.0,13,2.17,38,27,71.1,0,0,6,0,0.0,2,2,0,0,0.0,Matches
7,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6,6,540,6.0,14,2.33,45,31,68.9,0,3,3,0,0.0,0,0,0,0,,Matches
8,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,5,5,405,4.5,10,2.22,17,8,47.1,0,0,5,0,0.0,1,1,0,0,0.0,Matches
9,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6,6,540,6.0,17,2.83,56,40,71.4,1,1,4,2,33.3,2,1,0,1,0.0,Matches
10,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,fr Paris S-G,40,1978,5,5,450,5.0,6,1.20,11,8,72.7,3,1,1,1,20.0,3,3,0,0,0.0,Matches
11,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,27,1990,7,7,630,7.0,6,0.86,23,17,73.9,3,1,3,4,57.1,0,0,0,0,,Matches
12,Iker Casillas\Iker-Casillas,es ESP,GK,pt Porto,37,1981,10,10,930,10.3,15,1.45,32,20,62.5,6,1,3,1,10.0,5,3,0,2,0.0,Matches
13,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Barcelona,29,1989,1,1,90,1.0,1,1.00,7,6,85.7,0,1,0,0,0.0,0,0,0,0,,Matches
14,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,26,1992,5,5,450,5.0,8,1.60,29,21,72.4,3,0,2,2,40.0,0,0,0,0,,Matches
15,Jaume Doménech\Jaume-Domenech,es ESP,GK,es Valencia,27,1990,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
16,Ederson\Ederson,br BRA,GK,eng Manchester City,24,1993,10,10,900,10.0,12,1.20,28,19,67.9,7,1,2,3,30.0,3,3,0,0,0.0,Matches
17,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,de Schalke 04,29,1988,6,6,540,6.0,14,2.33,27,15,55.6,2,1,3,2,33.3,3,2,0,1,0.0,Matches
18,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,eng Tottenham,26,1992,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
19,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,27,1990,9,9,810,9.0,9,1.00,31,23,71.0,4,1,4,3,33.3,0,0,0,0,,Matches
20,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,fr Lyon,27,1990,1,0,56,0.6,3,4.82,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches
21,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,34,1984,6,6,540,6.0,7,1.17,43,36,83.7,2,2,2,0,0.0,0,0,0,0,,Matches
22,Marwin Hitz\Marwin-Hitz,ch SUI,GK,de Dortmund,30,1987,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
23,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,23,1995,3,3,270,3.0,0,0.00,11,11,100.0,1,2,0,3,100.0,0,0,0,0,,Matches
24,Aleš Hruška\Ales-Hruska,cz CZE,GK,cz Viktoria Plzeň,32,1985,4,4,360,4.0,9,2.25,22,14,63.6,2,0,2,0,0.0,1,1,0,0,0.0,Matches
25,Matúš Kozáčik\Matus-Kozacik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2,2,180,2.0,7,3.50,19,13,68.4,0,1,1,0,0.0,1,1,0,0,0.0,Matches
26,Georgii Kyrnats\Georgii-Kyrnats,ru RUS,GK,ru CSKA Moscow,20,1998,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
27,Karlo Letica\Karlo-Letica,hr CRO,GK,be Club Brugge,21,1997,3,3,270,3.0,5,1.67,13,8,61.5,0,1,2,0,0.0,0,0,0,0,,Matches
28,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,31,1986,11,11,978,10.9,15,1.38,43,29,67.4,5,2,4,4,36.4,2,1,1,0,50.0,Matches
29,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,27,1990,8,8,664,7.4,13,1.76,48,36,75.0,1,6,1,1,12.5,1,1,0,0,0.0,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,32,1985,6,6,540,6.0,12,2.00,32,22,68.8,1,0,5,1,16.7,2,2,0,0,0.0,Matches
31,Antonio Mirante\Antonio-Mirante,it ITA,GK,it Roma,35,1983,2,2,180,2.0,3,1.50,7,4,57.1,1,0,1,0,0.0,0,0,0,0,,Matches
32,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,32,1986,6,6,540,6.0,8,1.33,23,17,69.6,1,1,4,2,33.3,1,1,0,0,0.0,Matches
33,Keylor Navas\Keylor-Navas,cr CRC,GK,es Real Madrid,31,1986,3,3,270,3.0,2,0.67,9,7,77.8,2,0,1,1,33.3,0,0,0,0,,Matches
34,Neto\Neto,br BRA,GK,es Valencia,29,1989,5,5,450,5.0,5,1.00,21,19,90.5,1,2,2,1,20.0,3,3,0,0,0.0,Matches
35,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,32,1986,8,8,720,8.0,8,1.00,29,22,75.9,4,3,1,4,50.0,1,1,0,0,0.0,Matches
36,Alexander Nübel\Alexander-Nubel,de GER,GK,de Schalke 04,21,1996,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
37,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,25,1993,8,8,720,8.0,9,1.13,19,11,57.9,5,1,2,4,50.0,2,1,0,1,0.0,Matches
38,Robin Olsen\Robin-Olsen,se SWE,GK,it Roma,28,1990,6,6,570,6.3,9,1.42,37,29,78.4,3,0,3,2,33.3,1,1,0,0,0.0,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,22,1996,12,12,1080,12.0,13,1.08,50,38,76.0,6,4,2,4,33.3,1,1,0,0,0.0,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,29,1988,6,6,540,6.0,5,0.83,21,17,76.2,2,3,1,2,33.3,0,0,0,0,,Matches
41,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,21,1996,1,1,90,1.0,3,3.00,13,10,76.9,0,0,1,0,0.0,0,0,0,0,,Matches
42,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,34,1984,6,6,540,6.0,16,2.67,34,20,58.8,1,3,2,0,0.0,2,2,0,0,0.0,Matches
43,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,31,1987,1,1,90,1.0,2,2.00,4,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
44,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,33,1984,1,0,45,0.5,3,6.00,5,2,40.0,,,,0,,1,0,0,1,,Matches
45,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,28,1990,10,10,900,10.0,9,0.90,31,24,74.2,5,1,4,5,50.0,2,1,0,1,0.0,Matches
46,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,26,1992,11,11,990,11.0,9,0.82,37,28,75.7,8,2,1,6,54.5,0,0,0,0,,Matches
