Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Brenden Aaronson,us USA,MF,,RB Salzburg,Europa League,2021,2000,1.3,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,21,25,84,305,117,16,17,94.1,4,4,100,1,4,25,0,0.2,-0.2,2,3,2,0,3,,25,0,0,1,8,1,1,0,0,0,0,19,2,4,4,19,2,0,0,1,0,0,1,,3,2.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,2,1,0,3,3,100,0,33,10,30.3,4,16,13,4,0,0,4,0,3,0,0,,44,1,10,15,19,1,44,0,4,0,0,1,33,57,25,2,0,0,4,3,39,29,74.4,8,,0,0,0,0,1,0,1,0,1,0,0,0,7,0,1,0
Hatem Abd Elhamed,il ISR,DF,,Celtic,Europa League,2021,1991,2.4,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,112,142,78.9,1782,793,50,57,87.7,53,65,81.5,6,14,42.9,0,0,0,0,5,4,2,10,,112,30,1,0,10,2,9,0,0,0,0,91,24,27,9,101,2,29,0,1,0,4,3,,2,0.85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5,4,5,1,5,8,62.5,3,21,4,19,8,7,6,8,2,0,6,1,11,5,0,,172,8,41,81,67,2,143,5,8,62.5,6,0,110,638,408,26,12,1,1,4,111,107,96.4,5,,0,0,0,1,2,0,9,1,5,0,0,0,12,2,2,50
Shehu Abdullahi,ng NGA,MF,DF,AC Omonia,Europa League,2021,1993,2.9,,0,1,0,0,0.34,0,0,,2.2,0,0,0,0.2,0.2,0.15,-0.2,-0.2,,112,135,83,1823,519,63,71,88.7,35,41,85.4,12,19,63.2,0,0.1,-0.1,1,6,0,0,10,,123,12,6,0,21,0,1,0,0,0,0,92,24,19,22,92,9,6,1,1,1,2,1,,2,0.69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5,2,4,1,3,5,60,2,47,11,23.4,20,24,3,6,2,0,4,0,7,5,0,,166,7,46,108,22,1,155,3,6,50,3,1,95,483,221,7,1,0,2,4,119,97,81.5,6,,0,0,0,4,7,0,1,0,5,0,0,0,38,6,5,54.5
Anicet Abel,mg MAD,MF,,Ludogorets,Europa League,2021,1990,3.6,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,157,171,91.8,2721,572,70,75,93.3,52,54,96.3,23,27,85.2,0,0,0,1,12,0,0,6,,164,7,5,0,24,4,0,0,0,0,0,132,19,20,21,139,6,2,3,0,1,0,3,,1,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,6,9,3,1,8,15,53.3,7,63,18,28.6,28,30,5,9,1,0,8,9,22,3,0,,212,11,82,132,8,1,207,0,0,,0,0,120,459,131,4,1,0,3,2,151,140,92.7,1,,1,0,0,4,6,0,0,9,6,0,0,0,30,0,5,0
Zakaria Aboukhlal,ma MAR,MF,FW,AZ Alkmaar,Europa League,2021,2000,1.9,,0,6,2,33.3,3.09,1.03,0,0,12.1,0,0,0,1,1,0.17,-1,-1,,30,40,75,420,112,21,23,91.3,7,12,58.3,2,3,66.7,0,0.9,-0.9,1,2,1,0,3,,38,2,0,0,5,0,1,0,0,0,0,34,5,1,23,14,1,1,1,0,1,1,2,,2,1.03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,9,3,7,1,1,2,4,50,2,45,10,22.2,13,13,19,2,0,0,2,1,10,2,0,,73,2,18,24,34,13,71,3,6,50,3,0,51,301,153,6,1,2,7,2,77,45,58.4,10,,0,0,0,8,4,0,1,1,3,1,0,0,11,0,2,0
Joel Abu Hanna,il ISR,DF,,Zorya Luhansk,Europa League,2021,1998,4,,0,1,0,0,0.25,0,0,,23,0,0,0,0,0,0.02,0,0,,171,210,81.4,4071,1257,41,49,83.7,93,105,88.6,37,52,71.2,1,0,1,0,14,0,0,13,,200,10,7,0,29,7,0,0,0,0,0,155,22,33,165,29,10,2,0,0,6,3,3,,2,0.49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,6,3,4,0,2,4,8,50,4,48,14,29.2,30,17,1,10,6,0,4,2,8,16,0,,247,29,139,121,6,0,237,0,0,,0,0,139,970,501,9,0,0,2,0,150,146,97.3,0,,0,0,0,3,1,0,0,2,3,0,0,1,53,5,5,50
Elton Acolatse,nl NED,FW,MF,Be'er Sheva,Europa League,2021,1995,2.9,,4,7,4,57.1,2.4,1.37,0.57,1,19.3,0,0,0,1.2,1.2,0.17,2.8,2.8,,39,54,72.2,567,136,23,31,74.2,13,18,72.2,2,4,50,0,0.1,-0.1,2,8,1,0,7,,50,4,0,1,15,2,2,0,0,0,0,38,12,4,3,46,2,1,0,0,0,0,2,,4,1.37,2,0,2,0,0,0,2,0.68,0,0,2,0,0,0,0,,1,1,1,0,0,0,0,,0,40,14,35,10,17,13,3,0,0,3,0,1,1,0,,90,0,15,57,34,11,86,9,16,56.3,10,0,75,554,376,15,6,7,8,6,107,71,66.4,16,,0,0,0,1,3,3,2,0,1,0,0,0,10,2,7,22.2
Sargis Adamyan,am ARM,FW,MF,Hoffenheim,Europa League,2021,1993,1.1,,2,4,2,50,3.5,1.75,0.5,1,9.6,0,0,0,1,1,0.25,1,1,,21,30,70,291,74,15,21,71.4,3,5,60,2,2,100,0,0.6,-0.6,3,1,3,0,5,,29,1,0,0,4,0,0,0,0,0,0,25,4,1,3,24,3,0,0,0,0,2,3,,5,4.37,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2,2,0,2,0,0,0,,0,15,7,46.7,0,4,11,1,1,0,0,1,3,0,0,,41,0,0,15,29,9,40,0,0,,0,0,27,203,137,9,2,2,2,1,53,29,54.7,12,,0,0,0,1,1,2,0,1,2,1,0,0,6,0,2,0
Arijan Ademi,mk MKD,MF,,Dinamo Zagreb,Europa League,2021,1991,9.7,,0,14,6,42.9,1.45,0.62,0,0,14.2,0,0,0,1.6,1.6,0.11,-1.6,-1.6,,281,319,88.1,4268,774,142,163,87.1,104,111,93.7,19,23,82.6,3,2.6,0.4,15,13,5,0,16,,303,16,10,0,44,3,2,1,0,0,0,266,22,31,53,245,14,1,1,2,4,8,7,,25,2.59,21,0,2,1,1,0,4,0.41,4,0,0,0,0,0,0,,20,15,11,8,1,8,14,57.1,6,182,73,40.1,66,84,32,16,5,0,11,7,27,12,0,,422,14,88,246,117,30,409,11,18,61.1,11,1,275,1597,730,34,9,4,14,12,370,276,74.6,26,,1,0,0,9,14,1,2,7,15,0,0,0,75,8,12,40
Karim Adeyemi,de GER,MF,FW,RB Salzburg,Europa League,2021,2002,0.7,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,22,27,81.5,304,56,11,13,84.6,10,10,100,0,2,0,0,0.3,-0.3,2,2,1,0,1,,26,1,0,0,4,0,2,0,0,0,0,22,2,3,20,5,0,0,0,0,0,1,1,,2,2.95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,0,1,2,4,50,2,23,7,30.4,2,3,18,0,0,0,0,0,2,0,0,,34,0,3,14,21,5,33,1,2,50,1,0,27,220,110,4,2,1,2,1,38,27,71.1,9,,1,0,0,2,1,0,2,0,2,0,0,0,3,2,3,40
