,,,
Player,Nation,Pos,Born
Antonio Adán\Antonio-Adan,es ESP,GK,1987
René Adler\Rene-Adler,de GER,GK,1985
Adrián\Adrian,es ESP,GK,1987
Alisson\Alisson,br BRA,GK,1992
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,1986
Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,1989
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,1988
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,1984
Alphonse Areola\Alphonse-Areola,fr FRA,GK,1993
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,1994
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,1989
Mariano Barbosa\Mariano-Barbosa,ar ARG,GK,1984
Oliver Baumann\Oliver-Baumann,de GER,GK,1990
Asmir Begović\Asmir-Begovic,ba BIH,GK,1987
Vid Belec\Vid-Belec,si SVN,GK,1990
Vid Belec\Vid-Belec,si SVN,GK,1990
Diego Benaglio\Diego-Benaglio,ch SUI,GK,1983
Walter Benítez\Walter-Benitez,ar ARG,GK,1993
Etrit Berisha\Etrit-Berisha,al ALB,GK,1989
Quentin Beunardeau\Quentin-Beunardeau,fr FRA,GK,1994
Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,1977
Rubén Blanco\Ruben-Blanco,es ESP,GK,1995
Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,1983
Jean-Christophe Bouet\Jean-Christophe-Bouet,fr FRA,GK,1983
Yassine Bounou\Yassine-Bounou,ma MAR,GK,1991
Claudio Bravo\Claudio-Bravo,cl CHI,GK,1983
Alberto Brignoli\Alberto-Brignoli,it ITA,GK,1991
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,1978
Roman Bürki\Roman-Burki,ch SUI,GK,1990
Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,1983
Jack Butland\Jack-Butland,eng ENG,GK,1993
Willy Caballero\Willy-Caballero,ar ARG,GK,1981
Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,1994
Kiko Casilla\Kiko-Casilla,es ESP,GK,1986
Koen Casteels\Koen-Casteels,be BEL,GK,1992
